region,n_pix,F090W,F090W_err,F090W_n_eff,F115W,F115W_err,F115W_n_eff,F150W,F150W_err,F150W_n_eff,F182M,F182M_err,F182M_n_eff,F200W,F200W_err,F200W_n_eff,F210M,F210M_err,F210M_n_eff,F277W,F277W_err,F277W_n_eff,F335M,F335M_err,F335M_n_eff,F356W,F356W_err,F356W_n_eff,F410M,F410M_err,F410M_n_eff,F430M,F430M_err,F430M_n_eff,F444W,F444W_err,F444W_n_eff,F480M,F480M_err,F480M_n_eff
1,961,7.252921212299264e-7,961,2.3396520039675047e-8,1.0797618418920697e-6,961,3.48310271578087e-8,1.5603657866313935e-6,961,5.033438021391592e-8,1.9625565845612615e-6,961,6.330827692133102e-8,2.030406749775373e-6,961,6.549699192823784e-8,2.2522892644272515e-6,961,7.265449240087908e-8,2.895450036594851e-6,961,9.340161408370488e-8,3.2970147702660653e-6,961,1.0635531516987307e-7,3.473826866618132e-6,961,1.1205893118123007e-7,3.5189378977683754e-6,961,1.1351412573446372e-7,3.4370075333297965e-6,961,1.1087121075257408e-7,3.507066947489584e-6,1.1313119185450272e-7,961,3.383925322237848e-6,1.0915888136251124e-7,961
2,1658,1.8840463493561932e-6,1658,4.6269980827394234e-8,2.624542428523351e-6,1658,6.445570083238938e-8,3.367862475175643e-6,1658,8.271077418500201e-8,4.052705511811199e-6,1658,9.952972037798167e-8,4.0601000255857376e-6,1658,9.971132101147604e-8,4.389235408030158e-6,1658,1.07794502107591e-7,4.9840386635439555e-6,1658,1.2240217629676346e-7,5.197497229789772e-6,1658,1.2764446971009272e-7,5.128011030260624e-6,1658,1.2593796969692647e-7,4.605856571860625e-6,1658,1.1311446522881069e-7,4.321505010497312e-6,1658,1.061311225435227e-7,4.2314131057043336e-6,1.039185704431463e-7,1658,3.6090609106513545e-6,8.863432643140627e-8,1658
3,497,1.04810291231168e-6,497,4.7013840908976336e-8,1.5268523638214153e-6,497,6.848868873560378e-8,2.0725576697543535e-6,497,9.296691709939069e-8,2.6271729183849827e-6,497,1.1784481101469622e-7,2.661845781369367e-6,497,1.1940010147812145e-7,2.950623538123102e-6,497,1.3235355419215595e-7,3.4730329954104573e-6,497,1.5578682093128003e-7,3.7104207880160586e-6,497,1.6643511871215094e-7,3.7016059476999105e-06,497,1.6603971908546031e-7,3.34893805593465e-6,497,1.502204021439714e-7,3.173388034390232e-6,497,1.4234590748556678e-7,3.0676770214057502e-6,1.3760412050224692e-7,497,2.615424603116586e-6,1.1731782705301762e-7,497
4,325,3.947698573639157e-7,325,2.1897891734356975e-8,6.167292575348857e-7,325,3.42099840172441e-8,9.14562760449076e-7,325,5.0730814268138966e-8,1.2037520259327749e-6,325,6.677214849914273e-8,1.2903823685665593e-6,325,7.157753530494463e-8,1.4606802634030445e-6,325,8.102396287319882e-8,1.9966833043767085e-6,325,1.1075606207373991e-7,2.3356808234977787e-6,325,1.2956026111137226e-7,2.4390852969438358e-6,325,1.352961092824817e-7,2.414702368016304e-6,325,1.3394358773641694e-7,2.2483594780834333e-6,325,1.2471654436777343e-7,2.2596200361329933e-6,1.2534116774374308e-7,325,1.9894887794140905e-6,1.1035698163288876e-7,325
5,203,2.8658363290632124e-7,203,2.011422782103205e-8,4.5738097031006743e-7,203,3.2101850843759294e-8,7.110050488711828e-7,203,4.990277145231747e-8,9.547682123159906e-7,203,6.70115914996475e-8,1.047762002645805e-6,203,7.353847604523704e-8,1.1934411202192597e-6,203,8.37631456466487e-8,1.7200712057756595e-6,203,1.207253315568036e-7,2.050088942537834e-6,203,1.4388803584280032e-7,2.1606583580377445e-6,203,1.5164848744587754e-7,2.185405101502488e-6,203,1.533853683376108e-7,2.0342332568298253e-6,203,1.4277518487027525e-7,2.0717892896438096e-6,1.4541110162662947e-7,203,1.8627529778861387e-6,1.3073962874828655e-7,203
6,202,1.4661173958435236e-7,202,1.0315566000018726e-8,2.47932568718797e-7,202,1.7444474660921994e-8,4.5431917981037494e-7,202,3.196578594384598e-8,6.151650989047431e-7,202,4.328286531931444e-8,6.314726085203034e-7,202,4.4430257691931825e-8,7.017936894633339e-7,202,4.937803168136146e-8,9.367421896616076e-7,202,6.590895046911845e-8,1.1438380807512374e-6,202,8.048016651855799e-8,1.234218774382448e-6,202,8.683932993155204e-8,1.3600035289197132e-6,202,9.568951437724427e-8,1.3658193109593437e-6,202,9.609871137362133e-8,1.4247048585860072e-6,1.0024188404664324e-7,202,1.46097546152706e-6,1.0279387476416444e-7,202
7,123,2.426870411743094e-7,123,2.1882353575415964e-8,3.79630363240833e-7,123,3.423011709320265e-8,6.094205494786174e-7,123,5.494960042072108e-8,8.108880993953704e-7,123,7.311531763379921e-8,9.196169607433383e-7,123,8.291906890274202e-8,1.0465729665204387e-6,123,9.436630643752948e-8,1.5431777377536725e-6,123,1.3914365070272685e-7,1.8786475787563256e-6,123,1.6939194760060722e-7,1.9865985464243057e-6,123,1.7912555855852555e-7,2.0408710130816735e-6,123,1.8401914207687048e-7,1.931759285062118e-6,123,1.74180868882738e-7,1.9328235488476265e-6,1.7427683031660494e-7,123,1.7482409632834556e-6,1.5763357906744333e-7,123
8,75,3.784426327176392e-7,75,4.369879117447193e-8,5.683896386402982e-7,75,6.563198217471405e-8,8.221678997391423e-7,75,9.49357716466926e-8,1.0560406173161173e-6,75,1.2194106693652777e-7,1.1081889561766464e-6,75,1.2796263843231143e-7,1.2459801435606512e-6,75,1.4387339425793409e-7,1.489363015417489e-6,75,1.71976827574472e-7,1.6155609113565903e-6,75,1.865489054127929e-7,1.6325237333038195e-6,75,1.8850760337628258e-7,1.5002113033409258e-6,75,1.7322947996504053e-7,1.3946906072799544e-6,75,1.6104499950986486e-7,1.3648723092905265e-6,1.576018790356703e-7,75,1.1401009119594837e-6,1.3164751368462915e-7,75
9,69,1.1608204443613781e-7,69,1.3974635947384619e-8,1.8057249199769472e-7,69,2.173837349296571e-8,3.0040521191316364e-7,69,3.6164537707577484e-8,4.263394446760247e-7,69,5.1325237751436336e-8,5.006485072589795e-7,69,6.027099764248915e-8,5.876792511478658e-7,69,7.074826799024184e-8,9.663279328383772e-7,69,1.1633221255535592e-7,1.2343189551572506e-6,69,1.4859454039654092e-7,1.3154964222732857e-6,69,1.5836715902664678e-7,1.3960380728888799e-6,69,1.6806323434494105e-7,1.3277493862832548e-6,69,1.5984224255181614e-7,1.3334301674390638e-6,1.6052612823745177e-7,69,1.2157186373814357e-6,1.4635532527343304e-7,69
10,36,4.7543655972044e-8,36,7.923942662007333e-9,7.499141438203094e-8,36,1.2498569063671822e-8,1.3374309477634668e-7,36,2.229051579605778e-8,2.0978342812826973e-7,36,3.496390468804495e-8,2.5512216587287226e-7,36,4.2520360978812045e-8,3.060445622043846e-7,36,5.10074270340641e-8,5.601970283907318e-7,36,9.33661713984553e-8,7.603817114804604e-7,36,1.267302852467434e-7,8.218355015156434e-7,36,1.3697258358594056e-7,8.848905332560332e-7,36,1.474817555426722e-7,8.618451689456507e-7,36,1.4364086149094179e-7,8.593304310163142e-7,1.4322173850271904e-7,36,8.048353797901212e-7,1.341392299650202e-7,36
11,40,4.229367965318443e-8,40,6.687217916679152e-9,7.409529934792172e-8,40,1.1715495492571076e-8,1.4644147875763857e-7,40,2.3154430839865134e-8,2.654868138864923e-7,40,4.1977151031126745e-8,3.291334882833438e-7,40,5.204057386058545e-8,4.094193619157131e-7,40,6.47348850913226e-8,7.804465123149056e-7,40,1.233994285424876e-7,1.070706591800984e-6,40,1.6929357679236378e-7,1.1604204662833078e-6,40,1.8347858584649392e-7,1.2449574710867427e-6,40,1.9684505993386636e-7,1.1976994257697773e-6,40,1.8937290688541314e-7,1.190612755759353e-6,1.8825240597246563e-7,40,1.0874141184554739e-6,1.7193526870717182e-7,40
12,35,3.1241608828616436e-8,35,5.280795725213834e-9,5.2205493305505466e-8,35,8.824338957469806e-9,1.076415447206786e-7,35,1.819474190124628e-8,2.1152896750394085e-7,35,3.5754921376857144e-8,2.780971696700313e-7,35,4.7007001234917026e-8,3.5874244159796684e-7,35,6.063854017364361e-8,7.772303858299151e-7,35,1.3137591349768787e-7,1.1181743255594065e-6,35,1.8900595775494437e-7,1.213305363601384e-6,35,2.0508603806652792e-7,1.3438128349101584e-6,35,2.27145826996622e-7,1.3079330269191347e-6,35,2.210810325201308e-7,1.2973950294284025e-6,2.1929978583700866e-7,35,1.2038779077219478e-6,2.0349250717697374e-7,35
13,2447,4.30909513246486e-6,2447,8.71102173780548e-8,5.456188905377596e-6,2447,1.1029921294202227e-7,5.777210286738262e-6,2447,1.1678879867955857e-7,6.756173328992541e-6,2447,1.3657895897872841e-7,6.592138241554367e-6,2447,1.332629189088045e-7,6.852931410915964e-6,2447,1.3853496535369366e-7,7.649159680060414e-6,2447,1.5463106336860353e-7,6.974751007521106e-6,2447,1.409976010614161e-7,6.6584462906854865e-6,2447,1.346033647323857e-7,5.318053824607233e-6,2447,1.0750675268214436e-7,4.649198302422651e-6,2447,9.398554970543417e-8,4.877824608789198e-6,9.860732913561807e-8,2447,4.373764409609443e-6,8.84175347188358e-8,2447
14,114,4.0120182032280325e-7,114,3.757599324950856e-8,5.916959608465821e-7,114,5.541740416991063e-8,8.333343871171117e-7,114,7.804891632770135e-8,1.0689405312061695e-6,114,1.0011545349522973e-7,1.099107330586657e-6,114,1.0294083312328934e-7,1.2153813475633816e-6,114,1.1383089257889026e-7,1.5276697903393814e-6,114,1.4307938504138457e-7,1.6801399914442424e-6,114,1.5735952774576662e-7,1.690757795941091e-6,114,1.5835397624995628e-7,1.51940943847001e-6,114,1.4230573220543202e-7,1.4293127444668148e-6,114,1.33867403678051e-7,1.3836014666658814e-6,1.2958615025628866e-7,114,1.1574281276878265e-6,1.0840307623179835e-7,114
15,53,4.5072461969760477e-7,53,6.191178794722138e-8,6.798740027402403e-7,53,9.338787643045196e-8,8.807478580547097e-7,53,1.2098002247899484e-7,1.126686395177246e-6,53,1.5476227863486202e-7,1.1561346046233523e-6,53,1.5880730129165828e-7,1.226480081584739e-6,53,1.6846999567831386e-7,1.4204871524299338e-6,53,1.951189163396431e-7,1.3445458897831202e-6,53,1.8468758167550127e-7,1.2732254208800992e-6,53,1.7489096184589739e-7,1.039771173053644e-6,53,1.4282355470823848e-7,8.857491697850593e-7,53,1.2166700547875884e-7,9.124434564304171e-7,1.2533374774657316e-7,53,7.899428735086018e-7,1.0850699859238947e-7,53
16,11,1.3703268068443196e-7,11,4.131690780425842e-8,2.2851487425888739e-7,11,6.889982699381572e-8,2.890756713020624e-7,11,8.715959433900447e-8,4.022073165974722e-7,11,1.212700688263181e-7,3.862159925970566e-7,11,1.1644850322537413e-7,4.363232014820447e-7,11,1.3155639514932576e-7,4.1843698744560954e-7,11,1.2616349870579454e-7,3.93814374845552e-7,11,1.187395016737338e-7,3.7800536194642643e-7,11,1.1397290493807123e-7,2.9335055854076376e-7,11,8.844852133826364e-8,2.5501239397383585e-7,11,7.688912979104563e-8,2.5877854649429106e-7,7.802466750137302e-8,11,2.2269482914054274e-7,6.714501736468038e-8,11
17,31,1.3882829762918232e-7,31,2.4934298325552288e-8,2.303987448995274e-7,31,4.1380836164269486e-8,3.511332722457176e-7,31,6.306539741334189e-8,5.125132816173058e-7,31,9.205010273760976e-8,5.242742884616817e-7,31,9.416244192403285e-8,6.131586368023543e-7,31,1.1012654215321243e-7,7.74649826412058e-7,31,1.3913121603772644e-7,8.496391372776832e-7,31,1.5259969386452677e-7,8.645983499493221e-7,31,1.5528644777449922e-7,7.906302924187118e-7,31,1.4200139246138009e-7,7.368242754757088e-7,31,1.3233754653747427e-7,7.302887808898548e-7,1.3116373705848762e-7,31,6.003999586433405e-7,1.0783501590900034e-7,31
18,32,1.5095265819937188e-7,32,2.6684912062727735e-8,2.5435446903694933e-7,32,4.496394247028265e-8,4.064145176169969e-7,32,7.184461534490951e-8,5.856088733954786e-7,32,1.0352200137523931e-7,6.558487567011969e-7,32,1.1593877582404562e-7,7.103377655804825e-7,32,1.2557116274371482e-7,9.939478674442347e-7,32,1.757068193039315e-7,1.1503906844472865e-6,32,2.0336226349662748e-7,1.2058683713825344e-6,32,2.1316942565574202e-7,1.1077816456924012e-6,32,1.9582997843577254e-7,1.074641846514194e-6,32,1.8997163425425486e-7,1.0238936041998798e-6,1.8100052768581746e-7,32,8.565794679231455e-7,1.5142328759840522e-7,32
19,10,7.91773942250912e-8,10,2.5038090494835074e-8,1.3704730929157082e-7,10,4.333816445589207e-8,2.111224618527373e-7,10,6.67627844676662e-8,3.286926391515814e-7,10,1.0394173898508323e-7,3.1922526048150794e-7,10,1.0094789097821042e-7,3.958618769430914e-7,10,1.251825169969462e-7,4.5276328232097015e-7,10,1.4317632130281127e-7,4.841590792650667e-7,10,1.531045440327612e-7,4.844716559953864e-7,10,1.5320338947389903e-7,4.2838033061006215e-7,10,1.354657549543744e-7,4.0879378182632495e-7,10,1.2927194438851337e-7,3.825946058232798e-7,1.2098703748958846e-7,10,3.1651216054828625e-7,1.000899334473473e-7,10
20,10,1.1783974105725785e-7,10,3.726419806253931e-8,2.0808470430967256e-7,10,6.580216118612204e-8,3.34954868339612e-7,10,1.0592202973149957e-7,5.117891009906372e-7,10,1.6184192407803504e-7,5.27041663211262e-7,10,1.6666520775509604e-7,6.107333542858162e-7,10,1.9313084425777367e-7,6.947508815473843e-7,10,2.196995192099581e-7,7.438988771973219e-7,10,2.3524148007854314e-7,7.307856587930948e-7,10,2.3109471631728353e-7,6.546941501162733e-7,10,2.0703246851556143e-7,6.099723397388497e-7,10,1.9289019032768013e-7,5.724733617278503e-7,1.8103197228334725e-7,10,4.529347139331079e-7,1.4323053273854226e-7,10
21,17,1.2701592955278771e-7,17,3.0805887863656205e-08,2.1492429691973753e-7,17,5.2126798688922954e-8,3.573451409205515e-7,17,8.666892710686244e-8,5.217391258469149e-7,17,1.2654032499319148e-7,5.841421306930879e-7,17,1.4167527677770338e-7,6.292617107937033e-7,17,1.52618382338783e-7,8.729424668028e-7,17,2.1171964680677544e-7,9.95257316770491e-7,17,2.4138535539491466e-7,1.0320670541570413e-6,17,2.5031302805938495e-7,9.195136413637256e-7,17,2.2301481573758568e-7,9.007018754963704e-7,17,2.1845229234490957e-7,8.271289570594633e-7,2.0060823858606713e-7,17,6.799964859484732e-7,1.6492337274202296e-7,17
22,6,6.821923630930346e-8,6,2.785038660002343e-8,1.2433107821495245e-7,6,5.075795013278318e-8,2.2227487633836377e-7,6,9.074333827820358e-8,3.441608118741556e-7,6,1.405030630922792e-7,3.855557826423908e-7,6,1.574024891422128e-7,4.338438125119163e-7,6,1.7711599478631454e-7,5.263165533042926e-7,6,2.148678331293101e-7,5.85530316477977e-7,6,2.390417507168988e-7,5.567029777972999e-7,6,2.272730389818896e-7,4.956827380859117e-7,6,2.0236163043602025e-7,4.6369718854443315e-7,6,1.8930358451616442e-7,4.3629833580205217e-7,1.7811804972341624e-7,6,3.353941811984773e-7,1.369241011058055e-7,6
23,7,5.560148740470075e-8,7,2.1015386885446904e-8,9.894264680188652e-8,7,3.7396805356613134e-8,1.6853294014399082e-7,7,6.369946390621913e-8,2.653130953492185e-7,7,1.0027892426611422e-7,2.9536196349916715e-7,7,1.1163632888093332e-7,3.3825356597387144e-7,7,1.2784783080680617e-7,4.923445302288836e-7,7,1.8608874090693554e-7,5.560894456561049e-7,7,2.10182054273403e-7,5.407970568690325e-7,7,2.0440207460444494e-7,4.989853120588265e-7,7,1.8859872051165914e-7,4.639951106696538e-7,7,1.7537366748311374e-7,4.351679947795923e-7,1.6447804181735076e-7,7,3.4389421418421916e-7,1.299797954350607e-7,7
24,8,1.3528783470829408e-7,8,4.783147266713975e-8,2.440923472557181e-7,8,8.62996769901299e-8,4.040644384375556e-7,8,1.428583522277649e-7,6.221256637548864e-7,8,2.1995463779563104e-7,6.507687063497254e-7,8,2.300814826219439e-7,7.544142572677758e-7,8,2.6672571856892846e-7,7.814624891803996e-7,8,2.762887126711898e-7,8.409557120019348e-7,8,2.9732274331706467e-7,8.076498539332374e-7,8,2.8554734427025837e-7,7.105626617710141e-7,8,2.512218382981236e-7,6.698263919463327e-7,8,2.3681939198148501e-7,6.12257717715637e-7,2.1646579201526297e-7,8,4.8076784361182e-7,1.6997710119717573e-7,8
25,700,2.13185445985086e-6,700,8.057652474499012e-8,2.7795333839772595e-6,700,1.0505648706865189e-7,3.101503137439871e-6,700,1.1722579988789258e-7,3.7569000481117335e-6,700,1.419974746832892e-7,3.688345703179871e-6,700,1.3940636399782275e-7,3.877427420211707e-6,700,1.4655298115118451e-7,4.4228449730630114e-6,700,1.6716782694452708e-7,4.002939901871399e-6,700,1.512969070498431e-7,3.8250464597192045e-6,700,1.4457316693835795e-7,3.0645358022043134e-6,700,1.1582856594980627e-7,2.629577115027878e-6,700,9.93886728518636e-8,2.7779601786443076e-6,1.0499702549619145e-7,700,2.4899593056746503e-6,9.411161567837406e-8,700
26,257,1.0381799631811032e-6,257,6.475988682388564e-8,1.5129916045443603e-6,257,9.437782325865385e-8,1.835678870126616e-6,257,1.1450650184977654e-7,2.3428515306336825e-6,257,1.4614306319697055e-7,2.3181867589412642e-6,257,1.4460451701038869e-7,2.5037607063743594e-6,257,1.5618030180631673e-7,2.9515343581450573e-6,257,1.8411165478921947e-7,2.676687888545376e-6,257,1.6696720305978942e-7,2.586121447077708e-6,257,1.6131782365786284e-7,2.091315275360881e-6,257,1.3045266268716122e-7,1.7862166877702208e-6,257,1.1142113568488959e-7,1.8808633114731052e-6,1.173250298618498e-7,257,1.6939202739343955e-6,1.0566384357154151e-7,257
27,5,1.1003650755861273e-7,5,4.9209822181545496e-8,1.5602825330693146e-7,5,6.977795616097102e-8,1.6383483014207138e-7,5,7.326916345596063e-8,1.9872199890554462e-7,5,8.887117963548732e-8,2.0079661753063327e-7,5,8.979897729010438e-8,2.0155661931742616e-7,5,9.013886042176242e-8,2.0000655212215545e-7,5,8.944564929809888e-8,1.8432812133418655e-7,5,8.243404189361407e-8,1.6987840803336103e-7,5,7.597193365440832e-8,1.2838996756494918e-7,5,5.74177390208439e-8,1.0701481864874922e-7,5,4.785848181968308e-8,1.1064083751318657e-7,4.9480086753398787e-8,5,9.572341240209771e-8,4.280881143386738e-8,5
28,10,1.3412636161475984e-7,10,4.2414479697402065e-8,1.4196669547340605e-7,10,4.489381095834793e-8,1.4305234801656878e-7,10,4.523712443674278e-8,1.6988160452213475e-7,10,5.3721280285390624e-8,1.600892555340434e-7,10,5.062466764082925e-8,1.6872324819399322e-7,10,5.335497585149096e-8,1.3798633071603677e-7,10,4.363510910319289e-8,1.2123450045704257e-7,10,3.8337715243697885e-8,1.129980749290217e-7,10,3.573312879900779e-8,7.943044246828887e-8,10,2.5118111375475957e-8,6.433105501828975e-8,10,2.034326581394006e-8,6.838840373654751e-8,2.1626312135065993e-8,10,5.906011779368428e-8,1.8676449110588078e-8,10
29,83,3.79609851706409e-8,83,4.1667594457350076e-9,8.086288007612358e-8,83,8.87585419219078e-9,1.9247492319867604e-7,83,2.112686751147516e-8,2.873176165020365e-7,83,3.153720555734768e-8,3.0245055431406945e-7,83,3.319826127775548e-8,3.4478929349717815e-7,83,3.784554165308591e-8,5.061447334269375e-7,83,5.555660211228688e-8,6.403111463737211e-7,83,7.02832791448618e-8,6.980140131908513e-7,83,7.661699162032774e-8,7.990000743754136e-7,83,8.770165189552482e-8,8.24885606475113e-7,83,9.054295817088769e-8,8.727929676745648e-7,9.580147422100433e-8,83,9.371562738879569e-7,1.0286626489800716e-7,83
30,53,1.9422446373277613e-8,53,2.667878187096583e-9,5.245581138604119e-8,53,7.205359834372681e-9,1.3891733794935625e-7,53,1.9081763882974195e-8,2.2617506002426705e-7,53,3.1067533796061916e-8,2.429938856186977e-7,53,3.3377777164667554e-8,2.8371699689758023e-7,53,3.897152669568008e-8,4.3912310529835705e-7,53,6.031819738668188e-8,5.797772417487455e-7,53,7.96385288912231e-8,6.442647300827965e-7,53,8.849656665642285e-8,7.583479309288789e-7,53,1.0416709946171228e-7,7.891978199859141e-7,53,1.0840465762034112e-7,8.263586517206929e-7,1.1350909042423268e-7,53,8.896511580769741e-7,1.2220298479105746e-7,53
